__id,data_loaded_at,the_geom,analysis_neighborhood,supervisor_district,cultural_districts,number_of_districts,longitude,latitude,zip_code,street_address_or_intersection,location_description,current_location,facility,media_support,medium,display_dimensions,display_title,credit_line,artist,accession_number,data_as_of,creation_date
row-thzw.c674-8nbq,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404930993 37.755587994),Mission,10,,0,-122.404931,37.75558799,94110,1001 Portrero Avenue,Main Building Third Floor East Courtyard,City Agency,San Francisco General Hospital,Mosaic-tile mural,Mosaic-tile mural,96  x 120 in.,Connecting Mural Bands,Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the San Francisco General Hospital,"Loarca, Carlos",1977.58,2024-04-17T12:53:50.300,1974
row-p6hf-7z7w~ds9b,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.440837207 37.73186574),West of Twin Peaks,07,,0,-122.4408372,37.73186574,94131,236 Monterey Boulevard,Garden Walkways,Public Display,Sunnyside Conservatory,Bronze on concrete,Bronze,3 1/4 x 3 1/2 x 3/4 in.,Sunnyside Menagerie [glyphies],Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Sunnyside Conservatory,Wowhaus,2009.7.14,2024-04-17T12:53:50.300,2009
row-vrce.84qq_4n5w,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.420701651 37.779617949),Hayes Valley,05,,0,-122.4207017,37.77961795,94102,401 Van Ness Avenue,Suite 125,City Agency,Arts Commission,Oil on canvas,Oil,156  x 108 in.,Untitled  (Two Views of San Francisco),Property of the City and County of San Francisco; Commissioned for the Golden Gate Exposition of 1939,"Ilyin, Peter",1940.15.2,2024-04-17T12:53:50.300,1938
row-jie6.bn5z~8hn9,2024-04-25T13:55:19.101,,,,,0,,,94131,375 Laguna Honda Boulevad,Link Building Level 1,City Agency,Laguna Honda Hospital,cotton thread tapestry,cotton thread tapestry,,1908: The Construction of Clarendon Hall,Collection of the City and County of San Francisco,"deSoto, Lewis",2011.14.2,2024-04-17T12:53:50.300,2004-2009
row-2h63~gdch.6p3m,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.456158432 37.748648616),Twin Peaks,07,,0,-122.4561584,37.74864862,94116,375 Laguna Honda Boulevard,Courtyard B,City Agency,Laguna Honda Hospital,Lathe turned granite,Lathe turned granite,,Bloom,,"Bonner, Jonathan",2011.12.1-5,2024-04-17T12:53:50.300,
row-ivcn-ns8g-hdf7,2024-04-25T13:55:19.101,,,,,0,,,94128,,"BA/D, Departures Between Gates 54A And 54B",SFO,Terminal 2,"Wood, ink and plastic","Wood, ink and plastic",,San Francisco Bay Area Bird Encounters,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,"Kitundu, Walter",2011.7,2024-04-17T12:53:50.300,2011
row-rza2.ua5t_f4iq,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.410025063 37.800846425),North Beach,03,,0,-122.4100251,37.80084643,94133,600 Columbus Avenue,"Columbus Ave. near Filbert St.; park boarded by Filbert, Stockton, Union and Powell Streets",Public Display,Washington Square,Bronze on marble,Bronze,204 x 96 x 96 in.,Volunteer Fireman Memorial,Collection of the City and County of San Francisco; Gift of Mrs. Lillie Hitchcock Coit,"Patigian, Haig",1933.41,2024-04-17T12:53:50.300,1932
row-j8k2-2i37.vb4r,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.466570755 37.772581681),Golden Gate Park,01,,0,-122.4665708,37.77258168,94118,Music Concourse Drive & John F. Kennedy Drive,Music Concourse Drive & John F. Kennedy Drive near  Hagiwara Tea Garden Drive; between Burns Statue and Cervantes Statue,Public Display,Golden Gate Park,Bronze on granite,Bronze,236  x 222  x 149 in.,Thomas Starr King (1824-1864),Collection of the City and County of San Francisco; Gift of the Starr King Monument Committee,"French, Daniel Chester",1892.1,2024-04-17T12:53:50.300,1890
row-bvay_dyzd_pjaw,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404930993 37.755587994),Mission,10,,0,-122.404931,37.75558799,94110,1001 Portrero Avenue,Main Building Third Floor 3M Courtyard,City Agency,San Francisco General Hospital,Bronze,Bronze,3' H,Untitled (Buddha),Gift of the Chinese Cultural Center to the San Francisco General Hospital and the Art Commission,Anonymous,1984.27,2024-04-17T12:53:50.300,
row-9bqf-habt.qr7y,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.465006923 37.742414718),West of Twin Peaks,07,,0,-122.4650069,37.74241472,94127,Lenox Way & Verdun Way,Clubhouse Exterior; Park is on Lenox Way between Verdun Way and Ulloa Street,Public Display,West Portal Playground,"Hand-carved glazed ceramic tile, thin set, grout on exterior wall","Hand-carved glazed ceramic tile, thin set, grout",18 x 174 in.,Secret Garden,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the West Portal Playground,"Barr, Aileen",2004.13.2,2024-04-17T12:53:50.300,2004
