__id,data_loaded_at,the_geom,analysis_neighborhood,supervisor_district,cultural_districts,number_of_districts,longitude,latitude,zip_code,street_address_or_intersection,location_description,current_location,facility,media_support,medium,display_dimensions,display_title,credit_line,artist,accession_number,data_as_of,creation_date
row-whxs.ap95-g8xt,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.39070698 37.734802303),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.390707,37.7348023,94124,3rd Street & Oakdale Avenue,3Rd St. Between Palou And Oakdale Ave.,Public Display,3rd Street Light Rail,painted steel,,480 x 36 x 10 in.,Untitled (Pole-mounted sculpture),Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,"Hayes, Frederick, JoeSam and Washington, Horace",2007.21.1,2024-04-17T12:53:50.300,2006
row-zrgz.48eg~jy2x,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.423686627 37.771741407),Hayes Valley,08,Castro LGBTQ Cultural District,1,-122.4236866,37.77174141,94102,Octavia Boulevard & Market Street,Between Market St. And Hayes Green,Public Display,Octavia Blvd.,"Stainless steel, mirror and glass lenses","Stainless steel, mirror and glass lenses",approx. 8 blocks,Ghinlon/Transcope,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Octavia Boulevard Streetscape Project,Wang Po Shu,2007.32.1-12,2024-04-17T12:53:50.300,2005
row-hg97-t7v2_zqbs,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404809689 37.794457951),Chinatown,03,,0,-122.4048097,37.79445795,94108,Clay Street & Kearny Street,Lower Level,Public Display,Portsmouth Square,Cast concrete,Cast concrete,"Varies from 144"" L to 15"" L X 23"" W to 15"" W",Untitled,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Portsmouth Square,"Fuller (McChesney), Mary",1999.19.1-15,2024-04-17T12:53:50.300,1999
row-2v8y.5zma_72ma,2024-04-25T13:55:19.101,,,,,0,,,94128,,"BAE, Gate 65 End Of Terminal",SFO,Terminal 3,"Stainless Steel, LED Lights, Paint","Stainless Steel, LED Lights, Paint",420 x 480 in.,Sky,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco International Airport,Merge Conceptual Design,2016.17.a-z,2024-04-17T12:53:50.300,2014
row-rsbq_u9q8~wvwr,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.384469944 37.605746093),,,,0,-122.3844699,37.60574609,94128,55 S McDonnell Road,"Grand Hyatt, Level 1, Lobby",SFO,Hotel,"hand cut glass, stone mosaic","hand cut glass, stone mosaic",28ft x 28ft,Green Map,,"Harvey, Ellen",T2018.27,2024-04-17T12:53:50.300,2019
row-22v9~thq9-rsj9,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.415872061 37.779349574),Tenderloin,05,,0,-122.4158721,37.77934957,94102,100 Larkin Street,Latino/Hispanic Community Room,Public Display,Main Library,Acrylic on board,Acrylic,,Perhaps Better Voices,Collection of the City and County of San Francisco; Gift of Carlota del Portillo to the San Francisco Public Library,"Paniagua, Emanuel",1997.12,2024-04-17T12:53:50.300,1997
row-kn7b~4gc8~5yne,2024-04-25T13:55:19.101,,,,,0,,,94116,375 Laguna Honda Boulevad,"Central quad, garden area",Public Display,Laguna Honda Hospital,Bronze and stone,Bronze and stone,,Rabbinoid on Cell Phone,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Pine Lake Park,"Heffernon, Gerald",2007.35,2024-04-17T12:53:50.300,
row-byru-jb8g-kdst,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404930993 37.755587994),Mission,10,,0,-122.404931,37.75558799,94110,1001 Portrero Avenue,Main Building Third Floor East Courtyard,City Agency,San Francisco General Hospital,Mosaic-tile mural,Mosaic-tile mural,"300"" X 120""",Roof Mural,Collection of the City and County of San Francisco; Purchased by the San Francisco Arts Commission for the San Francisco General Hospital,"Concha, Jerry (Gerald)",1977.57,2024-04-17T12:53:50.300,1977
row-2ket_e9e2_2nbs,2024-04-25T13:55:19.101,,,,,0,,,94128,,"International Terminal, Transfer Corridor",SFO,International Terminal,Mixed medium,Mixed medium,,Light Beams for the Sky of Transfer Cooridor,Commission for the San Francisco International Airport by the San Francisco Arts Commission,"Acconci, Vito",2002.7,2024-04-17T12:53:50.300,2002
row-e82a-vydc_st66,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.510050184 37.773264406),Outer Richmond,01,,0,-122.5100502,37.77326441,94121,Cabrillo Street & La Playa Street,Northeast Intersection Corner,Public Display,MUNI terminal,Stainless steel mesh over steel armature with photo-etched plaques,Stainless steel mesh over steel armature with photo-etched plaques,174 x 77 x 4 1/2 in.,Playland Revisited [Clown],Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Ocean Beach Terminal Project,"Beldner, Ray",1996.1.3,2024-04-17T12:53:50.300,1996
row-f2gs.44uf_4y3y,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.478881456 37.731282699),Sunset/Parkside,04,,0,-122.4788815,37.7312827,94110,3090 23rd Street,Playground; triangular park on 23rd St. between Treat Avenue and Folsom St.,Public Display,Parque Ninos Unidos,Glazed ceramic tile on cement,Glazed ceramic tile,9 x 9 in.,Los Ninos del Sol,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Parque Ninos Unidos,"Rodriguez, Isis",2005.11.n,2024-04-17T12:53:50.300,2003-07-26T00:00:00.000
row-exzr-94p5-y2qj,2024-04-25T13:55:19.101,,,,,0,,,94132,Stern Grove Entry Road & Wawona Street,"Stern Grove Park, Stern Grove Entry Rd.",Public Display,Trocadero Clubhouse,Stained glass on wood,Stained glass,45 x 20 in.,Stern Grove Trocadero Clubhouse [second floor window],Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Stern Grove Historic Renovation,"Kogure, Kimiko",1987.44.w,2024-04-17T12:53:50.300,1987
row-j6jf_jj2f_dmh3,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.406681149 37.79786956),Chinatown,03,,0,-122.4066811,37.79786956,94133,Columbus Avenue & Broadway,Nw Corner,Public Display,,,,,Language of the Birds,,"Goggin, Brian and Keehn, Dorka",T2009.1,2024-04-17T12:53:50.300,2008
row-xkyd.7nur_je8a,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.465896383 37.773403146),Inner Richmond,01,,0,-122.4658964,37.77340315,94118,8th Avenue & Fulton Street,8th Avenue Entrance At Fulton St.,Public Display,Golden Gate Park,Bronze on cast concrete,Bronze,Two 4' L sculptures on 9' H granite boulder,Bear and Lion,Collection of the City and County of San Francisco; Gift of Suzanna Brown,"Cummings, M. Earl",1908.3.a-b,2024-04-17T12:53:50.300,1908
row-einj_4rqz~3wsx,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.395635966 37.722436547),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.395636,37.72243655,94124,3rd Street & Gilman Avenue,3Rd St. At Gilman Ave.,Public Display,3rd Street Light Rail,Stainless steel on painted steel,Stainless steel,300 x 24 x 24 in.,Untitled (Pole-mounted sculpture),Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,"Margrill, Anita and Nagasawa, Nobuho",2007.27,2024-04-17T12:53:50.300,2006
row-ic8p-2bxb.bpzy,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.390981096 37.734018817),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.3909811,37.73401882,94124,3rd Street & Palou Avenue,3Rd St. Between Oakdale And Palou Ave,Public Display,3rd Street Light Rail,"Granite, terrazo, sandblasted and painted concrete on concrete","Granite, terrazo, sandblasted and painted concrete",48 x 48 x 1/2 in.,Untitled (Paving inserts),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Third Street Light Rail Project,"Hayes, Frederick, JoeSam and Washington, Horace",2007.21.3.a-kk,2024-04-17T12:53:50.300,2006
row-745z_s4s5.qffi,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.449867969 37.725741001),West of Twin Peaks,07,,0,-122.449868,37.725741,94112,50 Frida Kahlo Way,Batmale Hall Plaza,Public Display,CCSF  Ocean Campus,"Mosaic tile, poured concrete","Mosaic tile, poured concrete",84  x 360  x 360 in.,Sculpture Deck,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for San Francisco City College,"Overhoff, Jacques",1977.66.b,2024-04-17T12:53:50.300,1977
row-9hqa.hf7w.cvq5,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.467141479 37.771717793),Golden Gate Park,07,,0,-122.4671415,37.77171779,94118,Hagiwara Tea Garden Drive & Bowl Drive,Near Bowl Dr.; Music Concourse,Public Display,Golden Gate Park,Bronze on granite,Bronze,161  x 108  x 108 in.,General Ulysses Simpson Grant (1822-1885),Collection of the City and County of San Francisco; Gift of citizen committee headed by Congressman O'Connor,"Schmid, Rupert",1908.2,2024-04-17T12:53:50.300,ca. 1908
row-rqgm-tmhd~q2c8,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.384469944 37.605746093),,,,0,-122.3844699,37.60574609,94128,55 S McDonnell Road,"Grand Hyatt, Level Two",SFO,Hotel,"Camera obscura Ifochrome photograph, unique paper",Camera obscura Ifochrome photograph,58 in. x 71in.,"Cabrillo Highway at Pescadero Creek Road, Variation 4",,"Chiara, John",T2018.3,2024-04-17T12:53:50.300,2017
row-arxz-f6ij_6rm2,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.396302818 37.766472828),Mission Bay,06,,0,-122.3963028,37.76647283,94107,Daggett Street & 16th Street,"Triangular Parcel Bounded By 7Th,16Th & Hubbell Streets",Public Display,Daggett Park,Painted Steel and granite,Painted Steel and granite,,Shadow Kingdom,Collection of the City and County of San Francisco,"Colburn, Adriane",2017.1.a-e,2024-04-17T12:53:50.300,2016
row-kms3-mg74-gmyq,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.466876537 37.769887908),Golden Gate Park,07,,0,-122.4668765,37.76988791,94118,55 Music Concourse Drive,East Patio,Public Display,California Academy of Sciences,Marine grade stainless steel,Marine grade stainless steel,360  x 720  x 180 in.,Where the Land Meets the Sea,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for California Academy of Sciences,"Lin, Maya",2008.14,2024-04-17T12:53:50.300,2008
row-dwq4.e6cn.4pwd,2024-04-25T13:55:19.101,,,,,0,,,94128,,BA/D : Departures : Gate 58A. Level 2,SFO,Terminal 2,Mixed media on wood panel,Mixed media,64in by 84in,Urns,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"Ramirez, Robert",1986.2,2024-04-17T12:53:50.300,
row-e4gp~fuvy.np6m,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.424149716 37.774829738),Hayes Valley,05,,0,-122.4241497,37.77482974,94102,Octavia Boulevard & Oak Street,At Oak St. NW Corner,Public Display,Octavia Blvd.,"Stainless steel, mirror and glass lenses","Stainless steel, mirror and glass lenses",47 1/2 x 28 x 7 1/2 in.,Ghinlon/Transcope,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Octavia Boulevard Streetscape Project,Wang Po Shu,2007.32.8,2024-04-17T12:53:50.300,2005
row-fsff~f5pf-vuyn,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.440837207 37.73186574),West of Twin Peaks,07,,0,-122.4408372,37.73186574,94131,236 Monterey Boulevard,Garden Walkways,Public Display,Sunnyside Conservatory,Bronze on concrete,Bronze,3 1/4 x 3 1/2 x 3/4 in.,Sunnyside Menagerie [glyphies],Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Sunnyside Conservatory,Wowhaus,2009.7.11,2024-04-17T12:53:50.300,2009
row-dm2e-fasp.gth7,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404930993 37.755587994),Mission,10,,0,-122.404931,37.75558799,94110,1001 Portrero Avenue,Acute Care Unit Level 1 Pediatric Emergency Department,City Agency,San Francisco General Hospital,Acrylic painted mural on wall and eight digital prints on aluminum,Acrylic Painted Mural on Wall,,Land of the Helping Hand,Collection of the City and County of San Francisco,"Norris, Sirron",2018.2.a-i,2024-04-17T12:53:50.300,2017
row-iww8-b52r~9i3i,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.465976727 37.714137132),Oceanview/Merced/Ingleside,11,,0,-122.4659767,37.71413713,94132,345 Randolph Street,Main Entrance Facade,Public Display,Ocean View Library,Cast concrete and pigment,Cast concrete and pigment,85 x 105 in.,Art Panel,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco Public Library Ocean View Branch,"Crutcher, Colette and Roller, Mark",2000.5.2,2024-04-17T12:53:50.300,2000
row-ba2w-5jq5.yzej,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.415610134 37.784677215),Tenderloin,05,,0,-122.4156101,37.78467721,94109,570 Ellis Street,Front Fence,Public Display,Tenderloin Recreation Center,#836 galvanized steel on steel fence,#836 galvanized steel,59 x 64 1/2 x 1 1/4 in.,Folks in the 'Hood [figure in wheelchair],Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Tenderloin Children's Recreation Center,Joesam.,1995.7.f,2024-04-17T12:53:50.300,1995
row-6czf~66ye~jcjm,2024-04-25T13:55:19.101,,,,,0,,,94128,,"Departures Gate G97 - BA/G, Level 3",SFO,International Terminal,fresco buono and wood relief,fresco buono and wood relief,240in x 288in,Sanctuary/Sanctuario,Commissioned for San Francisco International Airport,"Alicia, Juana and Montoya, Emmanuel",2000.14,2024-04-17T12:53:50.300,2000
row-jkb2~xk9r-fr2r,2024-04-25T13:55:19.101,,,,,0,,,94128,,"Departures Meeting Area, Level 2, BA/D",SFO,Terminal 2,Flat weave wool tapestry,Flat weave wool tapestry,84 x 204 in.,Garden in San Andreas Valley (The Garden Tapestries),Purchased by the San Francisco Art Commission for the San Francisco International Airport,"Adams, Mark",1985.5.2,2024-04-17T12:53:50.300,1981-1983
row-fn65-pgyd.yubk,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.398176406 37.729662915),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.3981764,37.72966292,94124,201 Williams Avenue,Community Room,City Agency,SFPD   Bayview Station,"Wood, steel, brass tacks, Dutch gold and copper leaf, lacquer paints","Wood, steel, brass tacks, Dutch gold and copper leaf, lacquer paints",84 x 72 x 3 in.,"Ndebele Wall Panels I,II,III,IV",Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Bayview Police Station,"Riley, Cheryl",1997.3.1.a-d,2024-04-17T12:53:50.300,1994
row-hp3t_vst6_xzx4,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.397491942 37.7188393),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.3974919,37.7188393,94124,3rd Street & Le Conte Avenue,3Rd St. And Le Conte Ave.,Public Display,3rd Street Light Rail,Stainless steel on painted steel,Stainless steel,480 x 36 x 36 in.,Untitled (Pole-mounted sculpture),Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,"Margrill, Anita and Nagasawa, Nobuho",2007.29,2024-04-17T12:53:50.300,2006
row-pwaz~cafp-sd8i,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.436256275 37.76048502),Castro/Upper Market,08,Castro LGBTQ Cultural District,1,-122.4362563,37.76048502,94114,100 Collingwood Street,External Columns,Public Display,Eureka Valley Recreation Center,cast concrete on concrete,cast concrete,15 1/2 x 15 1/2 x 1 in.,Welcome Hands,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Eureka Valley Recreation Center,"Saulls, Vicki",2006.4.a-d,2024-04-17T12:53:50.300,2005
row-dvc5_96en_38vf,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.40523415 37.774951554),South of Market,06,SOMA Pilipinas Cultural District,1,-122.4052342,37.77495155,94103,425 7th Street,Sidewalk and Lobby,City Agency,Sherriff's Facility,Cast concrete and tile,Cast concrete and tile,"18"" pavers throughout exterior entrance and interior lobby",Sheriff Star Plaza,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Sheriff's Facility,"Scuri, Vicki",1995.16,2024-04-17T12:53:50.300,1995
row-6u27~qpbs~c9xw,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.405897643 37.802316863),North Beach,03,,0,-122.4058976,37.80231686,94133,1 Telegraph Hill Boulevard,Elevator Lobby,Public Display,Coit Tower,Oil on canvas,Oil,108 x 54 in.,"San Francisco Bay, North",Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,"Moya del Pino, Jose",1934.17,2024-04-17T12:53:50.300,1934
row-hc25~uhmv_y343,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.419990004 37.788482019),Nob Hill,03,,0,-122.41999,37.78848202,94109,1399 Bush tSreet,"2Nd, 3Rd, And 4Th Floors",Public Display,Polk-Bush Garage,Cast aluminum,Cast aluminum,Varies,Trolleys,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Polk-Bush Garage,"Hasson, Bruce",1993.6.a-lll,2024-04-17T12:53:50.300,1993
row-66xv-3k42.scd7,2024-04-25T13:55:19.101,,,,,0,,,94128,100 International Terminal,"Medical Clinic, Level 3, A side",SFO,International Terminal,Oil on canvas,Oil,48  x 60 in.,Seneca,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"Mayhew, Richard",1979.71,2024-04-17T12:53:50.300,
row-54ec.m8qw_pv9h,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.418830559 37.779328456),Tenderloin,05,,0,-122.4188306,37.77932846,94102,1 Dr. Carlton B. Goodlet Place,"1st Floor, Goodlett Lobby, South Wall",Public Display,City Hall,Bronze on Marble and wood base,Bronze,86  x 32 1/2  x 24 in.,John F. Shelley,"Collection of the City and County of San Francisco; Gift from Union Labor AFL-CIO (December 11, 1992)","Reinertson, Lisa",1992.21,2024-04-17T12:53:50.300,
row-92xh.jxkn.gu8v,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.41852558 37.718771032),McLaren Park,10,,0,-122.4185256,37.71877103,94134,Mansell Street & John F. Shelley Drive,Spread throughout the Philosopher's Way Park Trail throughout the park,Public Display,McLaren Park,"13 granite musing stations, 4 Sierra granite seating elements, 2 granite trailhead plaques, one basalt spring water bowl","13 granite musing stations, 4 Sierra granite seating elements, 2 granite trailhead plaques, one basalt spring water bowl",Dimensions variable,Philosopher's Way,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for McLaren Park,"Richards, Peter and Schwartzenberg, Susan",2014.7.a-v,2024-04-17T12:53:50.300,2012
row-if8p_xa4j_4itn,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.397677311 37.76014089),Potrero Hill,10,,0,-122.3976773,37.76014089,94107,1616 20th Street,Interior Staircase,Public Display,Potrero Library,"Willow, tule reed, sisal rope, balsa wood, woven copper wire, steel","Willow, tule reed, sisal rope, balsa wood, woven copper wire, steel",192 x 155 x 148 in.,here and past here,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco Public Library Potrero Branch,"Telcocci, Gina",2010.1,2024-04-17T12:53:50.300,2009
row-fxqf-efg2~838g,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.465837908 37.772613463),Golden Gate Park,01,,0,-122.4658379,37.77261346,94118,John F. Kennedy Drive & 8th Avenue,Near 8Th Avenue,Public Display,Golden Gate Park,Bronze on granite,Bronze,218  x 204  x 127 in.,Robert Burns (1759-1796),Collection of the City and County of San Francisco; Gift of the Scots of San Francisco,"Cummings, M. Earl",1908.1,2024-04-17T12:53:50.300,1906
row-7prx~7cpa~gcd2,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.391327154 37.732486681),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.3913272,37.73248668,94124,5075 3rd Street,,City Agency,San Francisco Public Library Bayview Branch,Photogram on porcelain enamel panel,Photogram,60  x 48 in.,Spirit and Nature Dancing Together (panel 4 of 4),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco Public Library Bayview Branch,"Saunders, Ron Moultrie",2014.2.d,2024-04-17T12:53:50.300,2013
row-h6j5~risu.aaxz,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.392637741 37.729283397),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.3926377,37.7292834,94124,3rd Street & Williams Avenue,3Rd St. And Williams Ave.,Public Display,3rd Street Light Rail,Stainless steel on painted steel,Stainless steel,300 x 24 x 24 in.,Untitled (Pole-mounted sculpture),Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,"Margrill, Anita and Nagasawa, Nobuho",2007.24,2024-04-17T12:53:50.300,2006
row-9t2p~5vm9_ghyv,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.420293111 37.764159258),Mission,09,American Indian Cultural District,1,-122.4202931,37.76415926,94110,45 Hoff Street,"Park, Garden, And Playground Entrances",Public Display,Kidpower Park,"10-gauge galvanized steel, Tnemec paint, Rustoleum spray paint","10-gauge galvanized steel, Tnemec paint, Rustoleum spray paint",varies,Untitled,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Kidpower Park,"Blackstone, Amy",2005.6.a-h,2024-04-17T12:53:50.300,2005
row-e4cx.4q3h_qgbc,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.402472685 37.712184427),Visitacion Valley,10,Pacific Islander Cultural District,1,-122.4024727,37.71218443,94134,Bayshore Boulevard & Arleta Avenue,Bayshore Blvd. And Arleta Ave.,Public Display,3rd Street Light Rail,"Stainless steel, galvanized steel on painted steel","Stainless steel, galvanized steel",480 x 36 x 36 in.,Untitled (Third Street Light Rail Project),Collection of the City and County of San Francisco; Commissioned  by the San Franciso Arts Commission for the 3rd Street Light Rail Project,"Margrill, Anita and Nagasawa, Nobuho",2007.30.1-3,2024-04-17T12:53:50.300,2006
row-pa7t~8pnq_ejhe,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.402721368 37.783264182),South of Market,06,SOMA Pilipinas Cultural District,1,-122.4027214,37.78326418,94103,Howard Street & 4th Street,"Howard Street Pedestrian Bridge, Howard Street between 3rd Street and 4th Street",City Agency,"Moscone Convention Center, South","LED lights, custom software, custom electronics, anodized aluminum, mirror-polished stainless steel",,1584 in. long,Point Cloud,Collection of the City and County of San Francisco,"Villareal, Leo",T2016.031,2024-04-17T12:53:50.300,2019
row-3nas.9npw~2vbu,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.47591421 37.73837121),Sunset/Parkside,04,Sunset Chinese Cultural District,1,-122.4759142,37.73837121,94116,2695 19th Avenue,Natatorium,Public Display,Sava Pool,Photographic print on porcelain enamel on concrete,Photographic print on porcelain enamel,21 1/2 x 94 x 1 in.,"Swimmer's Waves [column C, row 4]",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Wagner, Catherine",2008.10.k,2024-04-17T12:53:50.300,2008
row-akpb-aijb.cag9,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.418807965 37.780417694),Tenderloin,05,,0,-122.418808,37.78041769,94102,400 McAllister Street,4Th Floor Waiting Area,Public Display,Civic Center Courthouse,"Marble, granite terrazzo, zinc","Marble, granite terrazzo, zinc",436 x 436 in.,Floor,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Civic Center Courthouse,"Preston, Ann",1998.11.f,2024-04-17T12:53:50.300,1998
row-dd7i.sjtt~mgyj,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.415610134 37.784677215),Tenderloin,05,,0,-122.4156101,37.78467721,94109,570 Ellis Street,Front Fence,Public Display,Tenderloin Recreation Center,#836 galvanized steel on steel fence,#836 galvanized steel,59 x 48 x 1 1/4 in.,Folks in the 'Hood [woman with ball],Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Tenderloin Children's Recreation Center,Joesam.,1995.7.d,2024-04-17T12:53:50.300,1995
row-5esi~fimn_pt2b,2024-04-25T13:55:19.101,,,,,0,,,94128,,Gate 71B,SFO,Terminal 3,Pigment print on archival paper,Pigment print,37 x 35 in.,Everywhere All at Once: Landscape #9,Collection of the City and County of San Francisco; Purchased by the San Francisco Arts Commission and the Airport Commission for the San Francisco International Airport,"Marsh, Vanessa",2016.24.c,2024-04-17T12:53:50.300,
row-2bjx~3h6r~ec83,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404930993 37.755587994),Mission,10,,0,-122.404931,37.75558799,94110,1001 Portrero Avenue,Acute Care Unit Pedestrian Walkway Potrero Entrance,City Agency,San Francisco General Hospital,Bronze,Bronze,Figure: 5 x 14 1/2 x 10 3/4 in.; Each Shoe: 2 3/4 x 1 1/4 x 1 3/4 in.,Mother with Children with Hearts [Sunbathing Heart Figure w/Shoes],Collection of the City and County of San Francisco,"Otterness, Tom",2016.12.c,2024-04-17T12:53:50.300,2015
row-rpht.fs3n~z7dr,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404809689 37.794457951),Chinatown,03,,0,-122.4048097,37.79445795,94108,Clay Street & Kearny Street,Lower Level Playground,Public Display,Portsmouth Square,cast concrete,cast concrete,16 x 15 x 15 in.,Bench support (Ram),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Portsmouth Square,"Fuller (McChesney), Mary",1999.19.10,2024-04-17T12:53:50.300,1999
row-k9e6-i2x6_qvbn,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.428670823 37.778103662),Western Addition,05,,0,-122.4286708,37.77810366,94102,726 Fulton Street,3Rd Floor,Public Display,African American Art and Culture Complex,Fresco secco,Fresco secco,90 x 312 in.,Murals for the Acme Beer Company (The Gathering of the Hops),Collection of the City and County of San Francisco,"Moya del Pino, Jose",1973.26.b,2024-04-17T12:53:50.300,1935
row-yytj.97zp.xvhm,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.448715787 37.739281933),West of Twin Peaks,07,,0,-122.4487158,37.73928193,94127,Omar Way & Sequoia Way,Children'S Restroom,Public Display,Miraloma Field House,ceramic tile,ceramic tile,,Miraloma Fieldhouse Bathrooms,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Stern Grove Renovations,"Kogure, Kimiko",1987.43,2024-04-17T12:53:50.300,1987
row-7hjx.w4vn_f3aw,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.389804947 37.734948929),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.3898049,37.73494893,94124,1395 Mendell Street,Front Lawn,Public Display,Joseph Lee Recreation Center,"Basaltic clay, concrete, glass, travertine, marble tile","Basaltic clay, concrete, glass, travertine, marble tile",18 x 70 x 70 in.,Time to Dream (bench),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Joseph Lee Recreation Center,"Johnson, Amana",2013.3.b,2024-04-17T12:53:50.300,2008
row-yeue_922y.3ywx,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.38987767 37.737174477),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.3898777,37.73717448,94124,3rd Street & La Salle Avenue,3Rd St. Between Kirkwood And La Salle Ave.,Public Display,3rd Street Light Rail,Stainless steel on painted steel,Stainless steel,480 x 36 x 14 in.,Utitled (Pole-mounted sculpture),Collection ofCollection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,"Hayes, Frederick, JoeSam and Washington, Horace",2007.20.1,2024-04-17T12:53:50.300,2006
